annotator,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,delta_eval,train_series,test_series,notes,status,data_split,best_params_json,train_f1_mean,test_f1_mean,test_precision_mean,test_recall_mean,test_mmd_mean,test_mttd_mean,test_detections_mean,test_tp_mean,test_fp_mean,test_fn_mean,test_series_count
all,page_hinkley_river,river,PageHinkley,no_supervisado,True,10,25,25,Page-Hinkley de river.,ok,train_test,"{""delta"": 0.001, ""min_instances"": 20, ""threshold"": 40}",0.4066031746031746,0.256952380952381,0.19666666666666666,0.4433333333333333,0.7025642896419835,6.230769230769231,4.48,1.0,3.48,0.24,25.0
all,adwin_river,river,ADWIN,no_supervisado,True,10,25,25,ADWIN (Adaptive Windowing) de river.,ok,train_test,"{""clock"": 32, ""delta"": 0.01, ""grace_period"": 10, ""max_buckets"": 5, ""min_window_length"": 5}",0.08933333333333333,0.08266666666666665,0.16,0.056666666666666664,0.4895272629840603,4.5,0.28,0.16,0.12,1.08,25.0
all,ewma_numpy,EWMA,ewma,no_supervisado,True,10,25,25,EWMA ligero NumPy.,ok,train_test,"{""alpha"": 0.2, ""min_instances"": 15, ""threshold"": 2.0}",0.3135238095238095,0.2257142857142857,0.1697142857142857,0.39,0.7322578281752489,5.538461538461538,5.16,0.88,4.28,0.36,25.0
all,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,10,25,25,Ruptures PELT con costo RBF.,ok,train_test,"{""jump"": 3, ""min_size"": 25, ""penalty"": 10.0}",0.12533333333333332,0.14266666666666666,0.24,0.11,0.5146896769409444,3.3333333333333335,0.28,0.24,0.04,1.0,25.0
all,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,10,25,25,Ruptures PELT con costo L2.,ok,train_test,"{""jump"": 5, ""min_size"": 20, ""penalty"": 10.0}",0.4253968253968254,0.3225714285714286,0.26466666666666666,0.46666666666666673,0.6982480545812142,3.4615384615384617,3.84,1.08,2.76,0.16,25.0
all,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,10,25,25,Detector no parametrico tipo ventana.,ok,train_test,"{""jump"": 3, ""penalty"": 10.0, ""width"": 50}",0.12533333333333332,0.14266666666666666,0.24,0.11,0.47650982321622776,2.5,0.24,0.24,0.0,1.0,25.0
all,changepoint_online_md_focus,changepoint_online,MDFocus,no_supervisado,False,10,25,25,Binary segmentation RBF (aprox multivariado).,ok,train_test,"{""jump"": 3, ""min_size"": 30, ""penalty"": 10.0}",0.12533333333333332,0.14266666666666666,0.24,0.11,0.5146896769409444,3.3333333333333335,0.28,0.24,0.04,1.0,25.0
all,ocpdet_cumsum,OCPDet,cumsum,no_supervisado,True,10,25,25,CUSUM clasico.,ok,train_test,"{""drift"": 0.1, ""min_distance"": 20, ""threshold"": 10.0}",0.34609523809523807,0.2605079365079365,0.18666666666666665,0.4833333333333333,0.723867198589472,5.435897435897436,6.0,1.12,4.88,0.12,25.0
all,ocpdet_ewma,OCPDet,ewma,no_supervisado,True,10,25,25,EWMA adaptativo.,ok,train_test,"{""alpha"": 0.1, ""min_instances"": 10, ""threshold"": 2.0}",0.2884848484848485,0.2476248196248196,0.1778412698412698,0.47,0.728841864871389,4.666666666666667,5.76,1.08,4.68,0.16,25.0
all,ocpdet_two_sample_tests,OCPDet,two sample tests,no_supervisado,True,10,25,25,Ventanas con KS test.,ok,train_test,"{""alpha"": 0.05, ""min_distance"": 20, ""step"": 3, ""window_size"": 20}",0.45885714285714285,0.256,0.24999999999999997,0.29333333333333333,0.5449336283376567,5.083333333333334,2.04,0.72,1.32,0.52,25.0
all,ocpdet_neural_networks,OCPDet,neural networks,no_supervisado,True,10,25,25,Auto-regresion MLP residual.,ok,train_test,"{""hidden_layer_sizes"": [15], ""min_distance"": 30, ""step"": 2, ""threshold"": 2.0, ""window_size"": 20}",0.3470476190476191,0.21333333333333335,0.26666666666666666,0.22333333333333333,0.7940835406102739,5.75,1.88,0.48,1.4,0.76,25.0
all,ssm_canary,SSM,canary,semi_supervisado,True,10,25,25,Filtro de Kalman basico.,ok,train_test,"{""measurement_noise"": 0.5, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.0}",0.3874285714285714,0.18704761904761905,0.18666666666666665,0.23999999999999996,0.7995235891239427,4.55,3.2,0.52,2.68,0.72,25.0
all,tagi_lstm_ssm,TAGI-LSTM/SSM,canary,semi_supervisado,True,10,25,25,Filtro Kalman adaptativo (TAGI).,ok,train_test,"{""adaptation"": 1e-05, ""measurement_noise"": 0.4, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 2.0}",0.36,0.17904761904761904,0.16,0.23999999999999996,0.7854231257014322,4.55,3.24,0.52,2.72,0.72,25.0
all,skf_kalman_canary,SKF,canary,semi_supervisado,True,10,25,25,Filtro Kalman robusto.,ok,train_test,"{""measurement_noise"": 0.8, ""min_distance"": 20, ""process_noise"": 0.005, ""threshold"": 2.5}",0.2253333333333333,0.15466666666666665,0.16,0.16,0.9474558288811734,4.285714285714286,2.12,0.28,1.84,0.96,25.0
all,bayesian_online_cpd_cpfinder,Bayesian Online Change Point Detection,cpfinder,no_supervisado,True,10,25,25,BCPD con Student-T.,ok,train_test,"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 100.0, ""kappa"": 1.0, ""min_distance"": 15, ""probability_threshold"": 0.5}",0.0,0.0,0.0,0.0,0.52,,0.0,0.0,0.0,1.24,25.0
all,changefinder_sdar,ChangeFinder,changefinder,no_supervisado,True,10,25,25,ChangeFinder SDAR - DISABLED due to numerical warnings.,not_implemented,train_test,,,,,,,,,,,,
all,rulsif_roerich,RuLSIF,Roerich,no_supervisado,False,10,25,25,Roerich Online NN RuLSIF - DISABLED due to hanging issues.,not_implemented,train_test,,,,,,,,,,,,
