Index,Value,Is_ChangePoint,ChangePoint_Type,ChangePoint_Confidence,ChangePoint_Notes
0,8,FALSE,,,
1,14,FALSE,,,
2,12,FALSE,,,
3,12,FALSE,,,
4,13,FALSE,,,
5,13,FALSE,,,
6,14,FALSE,,,
7,10,FALSE,,,
8,11,FALSE,,,
9,9,FALSE,,,
10,12,FALSE,,,
11,11,FALSE,,,
12,40,FALSE,,,
13,17,FALSE,,,
14,14,FALSE,,,
15,12,FALSE,,,
16,8,FALSE,,,
17,4,FALSE,,,
18,26,FALSE,,,
19,4,FALSE,,,
20,11,FALSE,,,
21,24,FALSE,,,
22,13,FALSE,,,
23,11,FALSE,,,
24,10,FALSE,,,
25,7,FALSE,,,
26,14,FALSE,,,
27,17,FALSE,,,
28,12,FALSE,,,
29,11,FALSE,,,
30,17,FALSE,,,
31,18,FALSE,,,
32,5,FALSE,,,
33,10,FALSE,,,
34,13,FALSE,,,
35,16,FALSE,,,
36,16,FALSE,,,
37,9,FALSE,,,
38,9,FALSE,,,
39,7,FALSE,,,
40,11,FALSE,,,
41,15,FALSE,,,
42,12,FALSE,,,
43,42,FALSE,,,
44,15,FALSE,,,
45,9,FALSE,,,
46,5,FALSE,,,
47,11,FALSE,,,
48,16,FALSE,,,
49,9,FALSE,,,
50,6,FALSE,,,
51,12,FALSE,,,
52,13,FALSE,,,
53,9,FALSE,,,
54,6,FALSE,,,
55,11,FALSE,,,
56,12,FALSE,,,
57,17,FALSE,,,
58,11,FALSE,,,
59,9,FALSE,,,
60,14,FALSE,,,
61,5,FALSE,,,
62,10,FALSE,,,
63,6,FALSE,,,
64,7,FALSE,,,
65,10,FALSE,,,
66,4,FALSE,,,
67,13,FALSE,,,
68,9,FALSE,,,
69,16,FALSE,,,
70,10,FALSE,,,
71,11,FALSE,,,
72,11,FALSE,,,
73,36,FALSE,,,
74,11,FALSE,,,
75,9,FALSE,,,
76,20,FALSE,,,
77,22,FALSE,,,
78,12,FALSE,,,
79,10,FALSE,,,
80,13,FALSE,,,
81,12,FALSE,,,
82,8,FALSE,,,
83,22,FALSE,,,
84,17,FALSE,,,
85,14,FALSE,,,
86,12,FALSE,,,
87,15,FALSE,,,
88,5,FALSE,,,
89,5,FALSE,,,
90,15,FALSE,,,
91,3,FALSE,,,
92,12,FALSE,,,
93,11,FALSE,,,
94,15,FALSE,,,
95,12,FALSE,,,
96,14,FALSE,,,
97,20,FALSE,,,
98,13,FALSE,,,
99,5,FALSE,,,
100,15,FALSE,,,
101,10,FALSE,,,
102,6,FALSE,,,
103,19,FALSE,,,
104,35,FALSE,,,
105,15,FALSE,,,
106,15,FALSE,,,
107,10,FALSE,,,
108,7,FALSE,,,
109,9,FALSE,,,
110,10,FALSE,,,
111,13,FALSE,,,
112,8,FALSE,,,
113,14,FALSE,,,
114,20,FALSE,,,
115,15,FALSE,,,
116,9,FALSE,,,
117,2,FALSE,,,
118,10,FALSE,,,
119,14,FALSE,,,
