Index,Value,Is_ChangePoint,ChangePoint_Type,ChangePoint_Confidence,ChangePoint_Notes
0,48,FALSE,,,
1,49,FALSE,,,
2,38,FALSE,,,
3,35,FALSE,,,
4,35,FALSE,,,
5,34,FALSE,,,
6,49,FALSE,,,
7,67,FALSE,,,
8,55,FALSE,,,
9,48,FALSE,,,
10,38,FALSE,,,
11,55,FALSE,,,
12,62,FALSE,,,
13,61,FALSE,,,
14,41,FALSE,,,
15,45,FALSE,,,
16,60,FALSE,,,
17,54,FALSE,,,
18,54,FALSE,,,
19,54,FALSE,,,
20,63,FALSE,,,
21,41,TRUE,mean,0.8,"Manual evaluation - media change point"
22,38,FALSE,,,
23,35,FALSE,,,
24,43,FALSE,,,
25,40,FALSE,,,
26,42,FALSE,,,
27,39,FALSE,,,
28,48,FALSE,,,
29,39,FALSE,,,
30,36,FALSE,,,
31,47,FALSE,,,
32,39,FALSE,,,
33,47,FALSE,,,
34,53,FALSE,,,
35,65,FALSE,,,
36,37,FALSE,,,
37,48,FALSE,,,
38,50,FALSE,,,
39,54,FALSE,,,
40,44,FALSE,,,
41,36,FALSE,,,
42,48,FALSE,,,
43,52,FALSE,,,
44,51,FALSE,,,
45,60,FALSE,,,
46,48,FALSE,,,
47,42,FALSE,,,
48,61,FALSE,,,
49,71,FALSE,,,
50,67,FALSE,,,
51,46,FALSE,,,
52,61,FALSE,,,
53,53,FALSE,,,
54,70,FALSE,,,
55,51,FALSE,,,
56,52,FALSE,,,
57,61,FALSE,,,
58,53,FALSE,,,
59,41,FALSE,,,
60,57,FALSE,,,
61,45,FALSE,,,
62,53,FALSE,,,
63,44,FALSE,,,
64,33,TRUE,mean,0.8,"Manual evaluation - media change point"
65,50,FALSE,,,
66,40,FALSE,,,
67,46,FALSE,,,
68,46,FALSE,,,
69,40,FALSE,,,
70,35,FALSE,,,
71,38,FALSE,,,
72,42,FALSE,,,
73,45,FALSE,,,
74,43,FALSE,,,
75,36,FALSE,,,
76,50,FALSE,,,
77,50,FALSE,,,
78,63,FALSE,,,
79,51,FALSE,,,
80,37,FALSE,,,
81,58,FALSE,,,
82,44,FALSE,,,
83,47,FALSE,,,
84,34,FALSE,,,
85,50,FALSE,,,
86,51,FALSE,,,
87,49,FALSE,,,
88,50,FALSE,,,
89,45,FALSE,,,
90,61,FALSE,,,
91,64,FALSE,,,
92,59,FALSE,,,
93,61,FALSE,,,
94,57,FALSE,,,
95,60,FALSE,,,
96,70,FALSE,,,
97,54,FALSE,,,
98,58,FALSE,,,
99,56,FALSE,,,
100,50,FALSE,,,
101,38,FALSE,,,
102,42,FALSE,,,
103,47,FALSE,,,
104,47,FALSE,,,
105,51,FALSE,,,
106,25,FALSE,,,
107,39,FALSE,,,
108,45,FALSE,,,
109,36,FALSE,,,
110,43,FALSE,,,
111,39,FALSE,,,
112,43,FALSE,,,
113,25,FALSE,,,
114,44,FALSE,,,
115,32,FALSE,,,
116,52,FALSE,,,
117,33,FALSE,,,
118,24,FALSE,,,
119,0,TRUE,mean,0.8,"Manual evaluation - media change point"
