nivel_ruido,fuerza_cambio,tipo_cambio,algorithm_key,algorithm_library,algorithm_method,supervision,is_univariate,iterations,series_per_iteration,delta_eval,series_evaluated,series_avg_length,series_std_length,notes,status,trial_id,is_best,params_json,f1_mean,precision_mean,recall_mean,mmd_mean,mttd_mean,detections_mean,tp_mean,fp_mean,fn_mean,series_count
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo RBF.,ok,0,True,"{""jump"": 3, ""min_size"": 15, ""penalty"": 20.0}",0.26222222222222225,0.37777777777777777,0.2388888888888889,0.8208450334817562,2.125,0.6888888888888889,0.4888888888888889,0.2,1.8222222222222222,45
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo RBF.,ok,1,False,"{""jump"": 3, ""min_size"": 25, ""penalty"": 20.0}",0.26222222222222225,0.37777777777777777,0.2388888888888889,0.8208450334817562,2.125,0.6888888888888889,0.4888888888888889,0.2,1.8222222222222222,45
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo RBF.,ok,2,False,"{""jump"": 3, ""min_size"": 15, ""penalty"": 30.0}",0.19703703703703704,0.3111111111111111,0.15555555555555553,0.8882276228622039,1.7,0.4666666666666667,0.35555555555555557,0.1111111111111111,1.9555555555555555,45
alto,alto,escalon,changepoint_online_focus,changepoint_online,Focus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo RBF.,ok,3,False,"{""jump"": 3, ""min_size"": 25, ""penalty"": 30.0}",0.19703703703703704,0.3111111111111111,0.15555555555555553,0.8882276228622039,1.7,0.4666666666666667,0.35555555555555557,0.1111111111111111,1.9555555555555555,45
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo L2.,ok,0,False,"{""jump"": 3, ""min_size"": 20, ""penalty"": 20.0}",0.45766961433628106,0.3326214526214526,0.9185185185185184,0.38928704112555734,2.9943181818181817,7.488888888888889,2.1555555555555554,5.333333333333333,0.15555555555555556,45
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo L2.,ok,1,False,"{""jump"": 5, ""min_size"": 20, ""penalty"": 20.0}",0.4555303955303955,0.33339796006462674,0.9222222222222223,0.37228610595083567,3.027131782945736,7.711111111111111,2.1777777777777776,5.533333333333333,0.13333333333333333,45
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo L2.,ok,2,True,"{""jump"": 3, ""min_size"": 20, ""penalty"": 30.0}",0.4906785806785807,0.37695927529260853,0.8962962962962961,0.3798513879135754,2.914772727272727,6.711111111111111,2.111111111111111,4.6,0.2,45
alto,alto,escalon,changepoint_online_gaussian,changepoint_online,Gaussian,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Ruptures PELT con costo L2.,ok,3,False,"{""jump"": 5, ""min_size"": 20, ""penalty"": 30.0}",0.48978317978317976,0.37092191758858417,0.9111111111111111,0.3767900202015908,2.9573643410852712,6.777777777777778,2.1555555555555554,4.622222222222222,0.15555555555555556,45
alto,alto,escalon,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Detector no parametrico tipo ventana.,ok,0,True,"{""jump"": 3, ""penalty"": 20.0, ""width"": 30}",0.2474074074074074,0.34444444444444444,0.21666666666666667,0.8672198503909325,2.264705882352941,0.5333333333333333,0.4222222222222222,0.1111111111111111,1.8888888888888888,45
alto,alto,escalon,changepoint_online_np_focus,changepoint_online,NPFocus,no_supervisado,True,3,15,10,45,280.0,83.2666399786453,Detector no parametrico tipo ventana.,ok,1,False,"{""jump"": 3, ""penalty"": 20.0, ""width"": 50}",0.23407407407407405,0.3111111111111111,0.21666666666666667,0.8350422291218401,2.5,0.5555555555555556,0.4222222222222222,0.13333333333333333,1.8888888888888888,45
