algorithm,grid_test_f1,transfer_test_f1,grid_test_precision,transfer_test_precision,grid_test_recall,transfer_test_recall,grid_params,transfer_params,synthetic_test_f1,f1_difference,f1_improvement_pct
changepoint_online_gaussian,0.3496031746031746,0.3592261904761905,0.3541666666666667,0.3125,0.4097222222222222,0.5,{},"{""jump"": 3, ""min_size"": 20, ""penalty"": 30.0}",0.4224719724719724,0.009623015873015894,2.7525539160045467
bayesian_online_cpd_cpfinder,0.0,0.0,0.0,0.0,0.0,0.0,{},"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 150.0, ""kappa"": 1.0, ""min_distance"": 25, ""probability_threshold"": 0.5}",0.0,0.0,0.0
adwin_river,0.0791666666666666,0.0791666666666666,0.1666666666666666,0.1666666666666666,0.0520833333333333,0.0520833333333333,{},"{""clock"": 32, ""delta"": 0.01, ""grace_period"": 10, ""max_buckets"": 5, ""min_window_length"": 5}",0.1717948717948718,0.0,0.0
ocpdet_cumsum,0.3210978835978835,0.3210978835978835,0.2291666666666666,0.2291666666666666,0.6215277777777778,0.6215277777777778,{},"{""drift"": 0.0, ""min_distance"": 20, ""threshold"": 10.0}",0.2494720588611991,0.0,0.0
ocpdet_two_sample_tests,0.3416666666666666,0.3319444444444444,0.4652777777777777,0.3611111111111111,0.3124999999999999,0.3472222222222221,{},"{""alpha"": 0.05, ""min_distance"": 20, ""step"": 5, ""window_size"": 30}",0.4983016983016983,-0.009722222222222243,-2.845528455284559
ocpdet_neural_networks,0.2491071428571428,0.2353174603174603,0.2451388888888888,0.2395833333333333,0.3333333333333333,0.2743055555555555,{},"{""hidden_layer_sizes"": [20], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.0, ""window_size"": 20}",0.2105616605616605,-0.013789682539682518,-5.535643170051765
ocpdet_ewma,0.2739748677248677,0.223229316979317,0.19375,0.1600724506974506,0.5312499999999999,0.4513888888888888,{},"{""alpha"": 0.05, ""min_instances"": 5, ""threshold"": 2.0}",0.2142609165756498,-0.05074555074555068,-18.521972897350064
ewma_numpy,0.2889880952380952,0.2369107744107744,0.2194444444444444,0.1758928571428571,0.4756944444444444,0.4305555555555555,{},"{""alpha"": 0.05, ""min_instances"": 10, ""threshold"": 2.0}",0.2550631369635894,-0.052077320827320805,-18.02057651697198
page_hinkley_river,0.3196097883597883,0.2425226162726162,0.2652777777777778,0.1797458278436539,0.5381944444444444,0.6388888888888888,{},"{""delta"": 0.005, ""min_instances"": 5, ""threshold"": 40}",0.3540882194728348,-0.07708717208717211,-24.119152446105378
changepoint_online_focus,0.1180555555555555,0.0277777777777777,0.2083333333333333,0.0416666666666666,0.0833333333333333,0.0208333333333333,{},"{""jump"": 3, ""min_size"": 15, ""penalty"": 20.0}",0.2307692307692307,-0.09027777777777779,-76.47058823529417
changepoint_online_md_focus,0.1180555555555555,0.0277777777777777,0.2083333333333333,0.0416666666666666,0.0833333333333333,0.0208333333333333,{},"{""jump"": 3, ""min_size"": 20, ""penalty"": 20.0}",0.2307692307692307,-0.09027777777777779,-76.47058823529417
tagi_lstm_ssm,0.2783730158730159,0.1833333333333333,0.2395833333333333,0.2291666666666666,0.4131944444444444,0.1770833333333333,{},"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 2.5}",0.1205128205128205,-0.09503968253968259,-34.141126158232375
changepoint_online_np_focus,0.1347222222222222,0.0277777777777777,0.25,0.0416666666666666,0.09375,0.0208333333333333,{},"{""jump"": 3, ""penalty"": 20.0, ""width"": 30}",0.2179487179487179,-0.10694444444444448,-79.38144329896912
skf_kalman_canary,0.2027777777777778,0.0486111111111111,0.2083333333333333,0.0625,0.2291666666666666,0.0555555555555555,{},"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.0}",0.0769230769230769,-0.1541666666666667,-76.02739726027397
ssm_canary,0.3226190476190476,0.1430555555555555,0.3124999999999999,0.1875,0.4236111111111111,0.1319444444444444,{},"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.5}",0.1439560439560439,-0.1795634920634921,-55.65805658056582
