algorithm_key,algorithm_library,algorithm_method,approach,params_source,params_json,synthetic_scenario,synthetic_test_f1,train_f1_mean,train_precision_mean,train_recall_mean,train_mmd_mean,train_mttd_mean,train_series_count,train_valid_series,test_f1_mean,test_f1_std,test_precision_mean,test_recall_mean,test_mmd_mean,test_mttd_mean,test_detections_mean,test_tp_mean,test_fp_mean,test_fn_mean,test_series_count,test_valid_series
page_hinkley_river,river,PageHinkley,transfer_learning,synthetic_best,"{""delta"": 0.005, ""min_instances"": 5, ""threshold"": 40}",alto_alto_escalon,0.3540882194728348,0.21749232262480345,0.14676717485413138,0.64,0.6240367784508369,7.03125,25,25,0.24252261627261626,0.25609421058804305,0.1797458278436539,0.6388888888888888,0.6601836603173925,6.411458333333334,11.458333333333334,1.4583333333333333,10.0,0.08333333333333333,24,24
adwin_river,river,ADWIN,transfer_learning,synthetic_best,"{""clock"": 32, ""delta"": 0.01, ""grace_period"": 10, ""max_buckets"": 5, ""min_window_length"": 5}",alto_alto_escalon,0.1717948717948718,0.096,0.14,0.09,0.9725609701736663,5.125,25,25,0.07916666666666666,0.17790251700174328,0.16666666666666666,0.052083333333333336,0.9734263066794264,4.75,0.4166666666666667,0.16666666666666666,0.25,1.375,24,24
ewma_numpy,EWMA,ewma,transfer_learning,synthetic_best,"{""alpha"": 0.05, ""min_instances"": 10, ""threshold"": 2.0}",alto_alto_escalon,0.2550631369635894,0.2533273393273393,0.19323809523809524,0.46,0.7089076855230669,3.4047619047619047,25,25,0.23691077441077443,0.22719504665559348,0.17589285714285716,0.4305555555555555,0.6896641698643254,3.7857142857142856,5.333333333333333,0.9583333333333334,4.375,0.5833333333333334,24,24
changepoint_online_focus,changepoint_online,Focus,transfer_learning,synthetic_best,"{""jump"": 3, ""min_size"": 15, ""penalty"": 20.0}",alto_alto_escalon,0.2307692307692307,0.042666666666666665,0.08,0.03,0.947088281836061,1.5,25,25,0.027777777777777776,0.1332175423142422,0.041666666666666664,0.020833333333333332,0.9705164260827616,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,1.5,24,24
changepoint_online_gaussian,changepoint_online,Gaussian,transfer_learning,synthetic_best,"{""jump"": 3, ""min_size"": 20, ""penalty"": 30.0}",alto_alto_escalon,0.4224719724719724,0.37038095238095237,0.31,0.5566666666666666,0.6366250679807041,3.6822916666666665,25,25,0.3592261904761905,0.3135688919067951,0.3125,0.5,0.689964050114266,3.577777777777778,3.3333333333333335,1.0833333333333333,2.25,0.4583333333333333,24,24
changepoint_online_np_focus,changepoint_online,NPFocus,transfer_learning,synthetic_best,"{""jump"": 3, ""penalty"": 20.0, ""width"": 30}",alto_alto_escalon,0.2179487179487179,0.042666666666666665,0.08,0.03,0.947088281836061,1.5,25,25,0.027777777777777776,0.1332175423142422,0.041666666666666664,0.020833333333333332,0.9705164260827616,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,1.5,24,24
changepoint_online_md_focus,changepoint_online,MDFocus,transfer_learning,synthetic_best,"{""jump"": 3, ""min_size"": 20, ""penalty"": 20.0}",alto_alto_escalon,0.2307692307692307,0.042666666666666665,0.08,0.03,0.947088281836061,1.5,25,25,0.027777777777777776,0.1332175423142422,0.041666666666666664,0.020833333333333332,0.9705164260827616,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,1.5,24,24
ocpdet_cumsum,OCPDet,cumsum,transfer_learning,synthetic_best,"{""drift"": 0.0, ""min_distance"": 20, ""threshold"": 10.0}",alto_alto_escalon,0.2494720588611991,0.2983492063492063,0.21333333333333332,0.5966666666666667,0.6619006739187887,4.682291666666666,25,25,0.32109788359788355,0.2600820328361896,0.22916666666666666,0.6215277777777778,0.628354746243691,5.052083333333334,6.0,1.375,4.625,0.16666666666666666,24,24
ocpdet_ewma,OCPDet,ewma,transfer_learning,synthetic_best,"{""alpha"": 0.05, ""min_instances"": 5, ""threshold"": 2.0}",alto_alto_escalon,0.2142609165756498,0.2340952380952381,0.17374603174603173,0.46,0.7036210366575947,3.7499999999999996,25,25,0.223229316979317,0.2079734981221333,0.16007245069745069,0.45138888888888884,0.710529938599584,4.261904761904762,6.75,1.0416666666666667,5.708333333333333,0.5,24,24
ocpdet_two_sample_tests,OCPDet,two sample tests,transfer_learning,synthetic_best,"{""alpha"": 0.05, ""min_distance"": 20, ""step"": 5, ""window_size"": 30}",alto_alto_escalon,0.4983016983016983,0.33047619047619053,0.3533333333333333,0.38,0.788690965129232,5.25,25,25,0.33194444444444443,0.36189818072197677,0.3611111111111111,0.34722222222222215,0.7795310932754896,4.041666666666667,1.4166666666666667,0.7083333333333334,0.7083333333333334,0.8333333333333334,24,24
ocpdet_neural_networks,OCPDet,neural networks,transfer_learning,synthetic_best,"{""hidden_layer_sizes"": [20], ""min_distance"": 30, ""step"": 1, ""threshold"": 2.0, ""window_size"": 20}",alto_alto_escalon,0.2105616605616605,0.26495238095238094,0.26,0.33666666666666667,0.7351460217399068,5.153846153846154,25,25,0.2353174603174603,0.28435163372117145,0.2395833333333333,0.2743055555555555,0.6879144420301553,5.0606060606060606,2.8333333333333335,0.6666666666666666,2.1666666666666665,0.875,24,24
ssm_canary,SSM,canary,transfer_learning,synthetic_best,"{""measurement_noise"": 0.8, ""min_distance"": 25, ""process_noise"": 0.001, ""threshold"": 2.5}",alto_alto_escalon,0.1439560439560439,0.18,0.18333333333333332,0.21666666666666665,0.8607053074005089,4.111111111111111,25,25,0.14305555555555557,0.21070410327234365,0.1875,0.13194444444444445,0.896153086695638,3.5625,1.7916666666666667,0.375,1.4166666666666667,1.1666666666666667,24,24
tagi_lstm_ssm,TAGI-LSTM/SSM,canary,transfer_learning,synthetic_best,"{""adaptation"": 5e-05, ""measurement_noise"": 0.2, ""min_distance"": 25, ""process_noise"": 0.0005, ""threshold"": 2.5}",alto_alto_escalon,0.1205128205128205,0.152,0.15,0.19999999999999996,0.8902103985237068,5.0,25,25,0.18333333333333335,0.31681283176407227,0.22916666666666666,0.17708333333333334,0.9491504570163102,4.5,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.2083333333333333,24,24
skf_kalman_canary,SKF,canary,transfer_learning,synthetic_best,"{""measurement_noise"": 0.6, ""min_distance"": 30, ""process_noise"": 0.01, ""threshold"": 3.0}",alto_alto_escalon,0.0769230769230769,0.04666666666666666,0.08,0.03333333333333333,0.9668247504676345,4.0,25,25,0.048611111111111105,0.16300964714313196,0.0625,0.05555555555555555,1.0148696905579788,3.75,1.0416666666666667,0.125,0.9166666666666666,1.4166666666666667,24,24
bayesian_online_cpd_cpfinder,Bayesian Online Change Point Detection,cpfinder,transfer_learning,synthetic_best,"{""alpha"": 0.1, ""beta"": 0.01, ""hazard_lambda"": 150.0, ""kappa"": 1.0, ""min_distance"": 25, ""probability_threshold"": 0.5}",alto_alto_escalon,0.0,0.0,0.0,0.0,,,25,25,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.5416666666666667,24,24
